TestSite,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17,R18,R19,R20
S12-255-2013,S2-57-2007,S2-57-2010,S2-57-2012,S12-40-2005,S12-40-2009,S12-40-2011,S2-243-2007,S2-243-2010,S2-243-2012,,,,,,,,,,,
S12-281-2009,S2-57-2007,S2-57-2010,S2-57-2012,S12-40-2005,S12-40-2009,S12-40-2011,S2-243-2007,S2-243-2010,S2-243-2012,,,,,,,,,,,
S12-281-2011,S2-57-2007,S2-57-2010,S2-57-2012,S12-40-2005,S12-40-2009,S12-40-2011,S2-243-2007,S2-243-2010,S2-243-2012,,,,,,,,,,,
S12-281-2012,S12-40-2005,S12-40-2009,S12-40-2011,S2-57-2007,S2-57-2010,S2-57-2012,,,,,,,,,,,,,,
S12-281-2013,S12-40-2005,S12-40-2009,S12-40-2011,S2-57-2007,S2-57-2010,S2-57-2012,,,,,,,,,,,,,,
S12-30-2013,S12-40-2005,S12-40-2009,S12-40-2011,S2-57-2007,S2-57-2010,S2-57-2012,,,,,,,,,,,,,,
S12-314-2005,S12-40-2005,S12-40-2009,S12-40-2011,S2-57-2007,S2-57-2010,S2-57-2012,,,,,,,,,,,,,,
S12-314-2009,S2-243-2007,S2-243-2010,S2-243-2012,S12-40-2005,S12-40-2009,S12-40-2011,S12-63-2005,S12-63-2007,S12-63-2008,S12-63-2009,S12-63-2011,S12-30-2005,S12-30-2009,S12-30-2011,,,,,,
S12-314-2011,S2-243-2007,S2-243-2010,S2-243-2012,S12-40-2005,S12-40-2009,S12-40-2011,S12-63-2005,S12-63-2007,S12-63-2008,S12-63-2009,S12-63-2011,S12-30-2005,S12-30-2009,S12-30-2011,,,,,,
S12-314-2013,S2-243-2007,S2-243-2010,S2-243-2012,S12-40-2005,S12-40-2009,S12-40-2011,S12-63-2005,S12-63-2007,S12-63-2008,S12-63-2009,S12-63-2011,S12-30-2005,S12-30-2009,S12-30-2011,,,,,,
